light_id,x,y,z,status,hits,bounce0_nodes,bounce1_nodes,contributions
98,-0.202,2.193,0.230,SCENE_VALID,1,1,0,0
99,0.290,1.946,-0.381,SCENE_VALID,1,1,0,0
100,0.334,1.863,0.377,SCENE_VALID,1,1,0,0
101,-0.138,2.195,-0.221,SCENE_VALID,0,0,0,0
102,-0.397,1.936,-0.025,SCENE_VALID,1,1,0,0
103,-0.043,1.871,0.261,SCENE_VALID,1,1,0,0
104,0.378,2.197,-0.391,SCENE_VALID,1,1,0,0
105,0.215,1.925,0.363,SCENE_VALID,1,1,0,0
106,-0.280,1.880,-0.188,SCENE_VALID,1,1,0,0
107,-0.342,2.199,-0.063,SCENE_VALID,1,1,0,0
108,0.124,1.915,0.288,SCENE_VALID,1,1,0,0
109,0.399,1.889,-0.397,SCENE_VALID,1,1,0,0
110,0.058,2.200,0.345,SCENE_VALID,1,1,0,0
111,-0.372,1.905,-0.154,SCENE_VALID,1,1,0,0
112,-0.227,1.898,-0.100,SCENE_VALID,1,1,1,0
113,0.269,2.200,0.313,SCENE_VALID,1,1,0,0
114,0.350,1.895,-0.400,SCENE_VALID,1,1,1,0
115,-0.109,1.908,0.325,SCENE_VALID,1,1,1,0
116,-0.400,2.200,-0.118,SCENE_VALID,0,0,0,0
117,-0.073,1.886,-0.137,SCENE_VALID,0,0,0,0
118,0.366,1.918,0.336,SCENE_VALID,1,1,0,0
119,0.240,2.199,-0.399,SCENE_VALID,1,1,0,0
120,-0.257,1.877,0.301,SCENE_VALID,1,1,1,0
121,-0.357,1.928,-0.081,SCENE_VALID,1,1,1,0
122,0.095,2.197,-0.172,SCENE_VALID,0,0,0,0
123,0.400,1.868,0.355,SCENE_VALID,1,1,0,0
124,0.087,1.939,-0.394,SCENE_VALID,1,1,1,0
125,-0.360,2.195,0.274,SCENE_VALID,1,1,0,0
126,-0.252,1.860,-0.043,SCENE_VALID,1,1,1,0
127,0.246,1.950,-0.205,SCENE_VALID,0,0,0,0
128,0.363,2.192,0.371,SCENE_VALID,1,1,0,0
129,-0.080,1.853,-0.386,SCENE_VALID,1,1,0,0
130,-0.400,1.960,0.245,SCENE_VALID,0,0,0,0
131,-0.102,2.188,-0.005,SCENE_VALID,1,1,1,0
132,0.353,1.845,-0.237,SCENE_VALID,1,1,0,0
133,0.263,1.971,0.383,SCENE_VALID,1,1,0,0
134,-0.233,2.184,-0.375,SCENE_VALID,1,1,0,0
135,-0.369,1.838,0.214,SCENE_VALID,1,1,0,0
136,0.065,1.982,0.033,SCENE_VALID,1,1,0,0
137,0.399,2.180,-0.267,SCENE_VALID,1,1,0,0
138,0.117,1.832,0.393,SCENE_VALID,1,1,1,0
139,-0.346,1.994,-0.359,SCENE_VALID,1,1,1,0
140,-0.274,2.175,0.181,SCENE_VALID,0,0,0,0
141,0.221,1.826,0.071,SCENE_VALID,1,1,0,0
142,0.375,2.005,-0.294,SCENE_VALID,1,1,1,0
143,-0.050,2.169,0.398,SCENE_VALID,1,1,0,0
144,-0.398,1.821,-0.341,SCENE_VALID,1,1,1,0
145,-0.131,2.016,0.146,SCENE_VALID,0,0,0,0
146,0.338,2.163,0.108,SCENE_VALID,1,1,0,0
147,0.285,1.816,-0.319,SCENE_VALID,1,1,0,0
148,-0.208,2.027,0.400,SCENE_VALID,1,1,1,0
149,-0.380,2.156,-0.320,SCENE_VALID,1,1,0,0
150,0.035,1.812,0.110,SCENE_VALID,1,1,0,0
151,0.396,2.038,0.144,SCENE_VALID,1,1,1,0
152,0.145,2.149,-0.340,SCENE_VALID,1,1,1,0
153,-0.330,1.809,0.398,SCENE_VALID,1,1,1,0
154,-0.295,2.049,-0.295,SCENE_VALID,1,1,0,0
155,0.195,2.141,0.073,SCENE_VALID,1,1,0,0
156,0.384,1.806,0.179,SCENE_VALID,1,1,0,0
157,-0.020,2.060,-0.359,SCENE_VALID,1,1,0,0
158,-0.394,2.133,0.393,SCENE_VALID,1,1,0,0
159,-0.159,1.803,-0.268,SCENE_VALID,1,1,1,3
160,0.321,2.070,0.035,SCENE_VALID,1,1,0,0
161,0.305,2.124,0.212,SCENE_VALID,1,1,0,0
162,-0.182,1.802,-0.374,SCENE_VALID,1,1,0,0
163,-0.388,2.081,0.384,SCENE_VALID,1,1,0,0
164,0.005,2.115,-0.239,SCENE_VALID,1,1,0,0
165,0.391,1.801,-0.003,SCENE_VALID,1,1,1,0
