run_uuid,light_tier,probe_count,candidate_couplings,retained_couplings,pruned_couplings,mean_fanin,p95_fanin
run_20260819_090917_1349b0a_evidence_hardened,32,1200,5026,5026,0,4.19,5.00
run_20260819_090917_1349b0a_evidence_hardened,128,1200,19963,19963,0,16.64,18.00
run_20260819_090917_1349b0a_evidence_hardened,512,1200,79387,38371,41016,31.98,32.00
run_20260819_090917_1349b0a_evidence_hardened,1024,1200,161611,38388,123223,31.99,32.00
run_20260819_090917_1349b0a_evidence_hardened,4096,1200,652530,38400,614130,32.00,32.00
run_20260819_090917_1349b0a_evidence_hardened,16384,1200,2595871,153600,2442271,128.00,128.00
run_20260819_090917_1349b0a_evidence_hardened,64000,1200,489689,153537,336152,127.95,128.00
run_20260819_090917_1349b0a_evidence_hardened,128000,1200,998551,153600,844951,128.00,128.00
